"package","version","declared_licence","repository_paths"
"js-tokens","4.0.0","MIT","node_modules/js-tokens"
"js-yaml","4.1.0","MIT","node_modules/@nestjs/swagger/node_modules/js-yaml"
"js-yaml","4.1.1","MIT","node_modules/js-yaml"
"json-parse-even-better-errors","2.3.1","MIT","node_modules/json-parse-even-better-errors"
"jsonfile","6.2.0","MIT","node_modules/jsonfile"
"jsonwebtoken","9.0.2","MIT","node_modules/jsonwebtoken"
"jwa","1.4.2","MIT","node_modules/jwa"
"jws","3.2.3","MIT","node_modules/jws"
"lazystream","1.0.1","MIT","node_modules/lazystream"
"libphonenumber-js","1.12.40","MIT","node_modules/libphonenumber-js"
"lines-and-columns","1.2.4","MIT","node_modules/lines-and-columns"
"lodash.includes","4.3.0","MIT","node_modules/lodash.includes"
"lodash.isboolean","3.0.3","MIT","node_modules/lodash.isboolean"
"lodash.isinteger","4.0.4","MIT","node_modules/lodash.isinteger"
"lodash.isnumber","3.0.3","MIT","node_modules/lodash.isnumber"
"lodash.isplainobject","4.0.6","MIT","node_modules/lodash.isplainobject"
"lodash.isstring","4.0.1","MIT","node_modules/lodash.isstring"
"lodash.once","4.1.1","MIT","node_modules/lodash.once"
"lodash","4.17.21","MIT","node_modules/lodash"
"loose-envify","1.4.0","MIT","node_modules/loose-envify"
"lru-cache","10.4.3","ISC","node_modules/path-scurry/node_modules/lru-cache"
"lru-cache","7.18.3","ISC","node_modules/proxy-agent/node_modules/lru-cache"
"luxon","3.5.0","MIT","node_modules/luxon"
"make-dir","3.1.0","MIT","node_modules/@mapbox/node-pre-gyp/node_modules/make-dir"
"make-error","1.3.6","ISC","node_modules/make-error"
"math-intrinsics","1.1.0","MIT","node_modules/math-intrinsics"
"media-typer","0.3.0","MIT","node_modules/media-typer"
"merge-descriptors","1.0.3","MIT","node_modules/merge-descriptors"
"methods","1.1.2","MIT","node_modules/methods"
"mime-db","1.52.0","MIT","node_modules/mime-db"
"mime-types","2.1.35","MIT","node_modules/mime-types"
"mime","1.6.0","MIT","node_modules/mime"
"mime","3.0.0","MIT","node_modules/whatsapp-web.js/node_modules/mime"
"mimic-response","3.1.0","MIT","node_modules/decompress-response/node_modules/mimic-response"
"minimatch","3.1.5","ISC","node_modules/minimatch"
"minimatch","5.1.9","ISC","node_modules/readdir-glob/node_modules/minimatch"
"minimatch","9.0.9","ISC","node_modules/glob/node_modules/minimatch | node_modules/typeorm/node_modules/minimatch"
"minimist","1.2.8","MIT","node_modules/minimist"
"minipass","3.3.6","ISC","node_modules/fs-minipass/node_modules/minipass | node_modules/minizlib/node_modules/minipass"
"minipass","5.0.0","ISC","node_modules/tar/node_modules/minipass"
"minipass","7.1.3","BlueOak-1.0.0","node_modules/minipass"
"minizlib","2.1.2","MIT","node_modules/minizlib"
"mitt","3.0.1","MIT","node_modules/mitt"
"mkdirp-classic","0.5.3","MIT","node_modules/mkdirp-classic"
"mkdirp","1.0.4","MIT","node_modules/tar/node_modules/mkdirp"
"ms","2.0.0","MIT","node_modules/ms"
"ms","2.1.3","MIT","node_modules/@puppeteer/browsers/node_modules/ms | node_modules/@tokenizer/inflate/node_modules/ms | node_modules/agent-base/node_modules/ms | node_modules/extract-zip/node_modules/ms | node_modules/get-uri/node_modules/ms | node_modules/http-proxy-agent/node_modules/ms | node_modules/https-proxy-agent/node_modules/ms | node_modules/ioredis/node_modules/ms | node_modules/jsonwebtoken/node_modules/ms | node_modules/pac-proxy-agent/node_modules/ms | node_modules/proxy-agent/node_modules/ms | node_modules/puppeteer-core/node_modules/ms | node_modules/send/node_modules/ms | node_modules/socks-proxy-agent/node_modules/ms | node_modules/typeorm/node_modules/ms"
"msgpackr-extract","3.0.4","MIT","node_modules/msgpackr-extract"
"msgpackr","2.0.4","MIT","node_modules/msgpackr"
"multer","2.3.0","MIT","node_modules/multer"
"napi-build-utils","2.0.0","MIT","node_modules/napi-build-utils"
"negotiator","0.6.3","MIT","node_modules/negotiator"
"netmask","2.1.1","MIT","node_modules/netmask"
"node-abi","3.89.0","MIT","node_modules/node-abi"
"node-abort-controller","3.1.1","MIT","node_modules/node-abort-controller"
"node-addon-api","5.1.0","MIT","node_modules/node-addon-api"
"node-fetch","2.7.0","MIT","node_modules/node-fetch"
"node-gyp-build-optional-packages","5.2.2","MIT","node_modules/node-gyp-build-optional-packages"
"node-int64","0.4.0","MIT","node_modules/node-int64"
"node-webpmux","3.2.1","LGPL-3.0-or-later","node_modules/node-webpmux"
"nodemailer","6.10.1","MIT-0","node_modules/nodemailer"
"nopt","5.0.0","ISC","node_modules/@mapbox/node-pre-gyp/node_modules/nopt"
"normalize-path","3.0.0","MIT","node_modules/normalize-path"
"npmlog","5.0.1","ISC","node_modules/npmlog"
"object-assign","4.1.1","MIT","node_modules/object-assign"
"object-inspect","1.13.4","MIT","node_modules/object-inspect"
"on-finished","2.4.1","MIT","node_modules/on-finished"
"once","1.4.0","ISC","node_modules/once"
"pac-proxy-agent","7.2.0","MIT","node_modules/pac-proxy-agent"
"pac-resolver","7.0.1","MIT","node_modules/pac-resolver"
"package-json-from-dist","1.0.1","BlueOak-1.0.0","node_modules/package-json-from-dist"
"parent-module","1.0.1","MIT","node_modules/parent-module"
"parse-json","5.2.0","MIT","node_modules/parse-json"
"parseurl","1.3.3","MIT","node_modules/parseurl"
"path-is-absolute","1.0.1","MIT","node_modules/path-is-absolute"
"path-key","3.1.1","MIT","node_modules/path-key"
"path-scurry","1.11.1","BlueOak-1.0.0","node_modules/path-scurry"
"path-to-regexp","0.1.13","MIT","node_modules/express/node_modules/path-to-regexp"
"path-to-regexp","3.3.0","MIT","node_modules/path-to-regexp"
"patrol-evidence-web","1.0.1","[missing]","node_modules/patrol-evidence-web"
"pend","1.2.0","MIT","node_modules/pend"
"pg-cloudflare","1.3.0","MIT","node_modules/pg-cloudflare"
"pg-connection-string","2.12.0","MIT","node_modules/pg-connection-string"
"pg-int8","1.0.1","ISC","node_modules/pg-int8"
"pg-pool","3.13.0","MIT","node_modules/pg-pool"
"pg-protocol","1.13.0","MIT","node_modules/pg-protocol"
"pg-types","2.2.0","MIT","node_modules/pg-types"
"pg","8.20.0","MIT","node_modules/pg"
"pgpass","1.0.5","MIT","node_modules/pgpass"
"picocolors","1.1.1","ISC","node_modules/picocolors"
"possible-typed-array-names","1.1.0","MIT","node_modules/possible-typed-array-names"
"postgres-array","2.0.0","MIT","node_modules/postgres-array"
"postgres-bytea","1.0.1","MIT","node_modules/postgres-bytea"
"postgres-date","1.0.7","MIT","node_modules/postgres-date"
"postgres-interval","1.2.0","MIT","node_modules/postgres-interval"
"prebuild-install","7.1.3","MIT","node_modules/prebuild-install"
"prisma","5.22.0","Apache-2.0","node_modules/prisma"
"process-nextick-args","2.0.1","MIT","node_modules/process-nextick-args"
"process","0.11.10","MIT","node_modules/process"
"progress","2.0.3","MIT","node_modules/progress"
"prop-types","15.8.1","MIT","node_modules/prop-types"
"proxy-addr","2.0.7","MIT","node_modules/proxy-addr"
"proxy-agent","6.5.0","MIT","node_modules/proxy-agent"
"proxy-from-env","1.1.0","MIT","node_modules/proxy-from-env"
"pump","3.0.4","MIT","node_modules/pump"
"puppeteer-core","24.38.0","Apache-2.0","node_modules/puppeteer-core"
"puppeteer","24.38.0","Apache-2.0","node_modules/puppeteer"
"qrcode-generator","2.0.4","MIT","node_modules/qrcode-generator"
"qrcode-terminal","0.12.0","Apache 2.0","node_modules/qrcode-terminal"
"qs","6.14.2","BSD-3-Clause","node_modules/qs"
"range-parser","1.2.1","MIT","node_modules/range-parser"
"raw-body","2.5.3","MIT","node_modules/raw-body"
"rc","1.2.8","(BSD-2-Clause OR MIT OR Apache-2.0)","node_modules/rc"
"react-dom","18.3.1","MIT","node_modules/react-dom"
"react-is","16.13.1","MIT","node_modules/prop-types/node_modules/react-is"
"react-qr-code","2.2.0","MIT","node_modules/react-qr-code"
"react-router-dom","6.30.4","MIT","node_modules/react-router-dom"
"react-router","6.30.4","MIT","node_modules/react-router"
"react","18.3.1","MIT","node_modules/react"
"readable-stream","2.3.8","MIT","node_modules/duplexer2/node_modules/readable-stream | node_modules/lazystream/node_modules/readable-stream"
"readable-stream","3.6.2","MIT","node_modules/readable-stream"
"readable-stream","4.7.0","MIT","node_modules/archiver-utils/node_modules/readable-stream | node_modules/archiver/node_modules/readable-stream | node_modules/compress-commons/node_modules/readable-stream | node_modules/crc32-stream/node_modules/readable-stream | node_modules/zip-stream/node_modules/readable-stream"
"readdir-glob","1.1.3","Apache-2.0","node_modules/readdir-glob"
"redis-errors","1.2.0","MIT","node_modules/redis-errors"
"redis-parser","3.0.0","MIT","node_modules/redis-parser"
"reflect-metadata","0.2.2","Apache-2.0","node_modules/reflect-metadata"
"require-directory","2.1.1","MIT","node_modules/require-directory"
"resolve-from","4.0.0","MIT","node_modules/resolve-from"
"rimraf","3.0.2","ISC","node_modules/rimraf"
"rxjs","7.8.2","Apache-2.0","node_modules/rxjs"
"safe-buffer","5.1.2","MIT","node_modules/duplexer2/node_modules/safe-buffer | node_modules/lazystream/node_modules/safe-buffer"
"safe-buffer","5.2.1","MIT","node_modules/safe-buffer"
"safer-buffer","2.1.2","MIT","node_modules/safer-buffer"
"scheduler","0.23.2","MIT","node_modules/scheduler"
"semver","6.3.1","ISC","node_modules/@mapbox/node-pre-gyp/node_modules/make-dir/node_modules/semver"
"semver","7.8.5","ISC","node_modules/semver"
"send","0.19.2","MIT","node_modules/send"
"serve-static","1.16.3","MIT","node_modules/serve-static"
"set-blocking","2.0.0","ISC","node_modules/set-blocking"
"set-function-length","1.2.2","MIT","node_modules/set-function-length"
"setprototypeof","1.2.0","ISC","node_modules/setprototypeof"
"sha.js","2.4.12","(MIT AND BSD-3-Clause)","node_modules/sha.js"
"sharp","0.35.4","Apache-2.0","node_modules/sharp"
"shebang-command","2.0.0","MIT","node_modules/shebang-command"
"shebang-regex","3.0.0","MIT","node_modules/shebang-regex"
"side-channel-list","1.0.0","MIT","node_modules/side-channel-list"
