"package","version","in_repository_production_resolution","in_packaged_application","packaged_instance_count","declared_licence","collected_direct_text_count","technical_classification"
"jsonfile","6.2.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"jsonwebtoken","9.0.2","true","false","0","MIT","0","NOT_SHIPPED"
"jwa","1.4.2","true","false","0","MIT","0","NOT_SHIPPED"
"jws","3.2.3","true","false","0","MIT","0","NOT_SHIPPED"
"lazystream","1.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"libphonenumber-js","1.12.40","true","true","1","MIT","2","SHIPPED_NOTICE_TEXT_COLLECTED"
"lines-and-columns","1.2.4","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"lodash.includes","4.3.0","true","false","0","MIT","0","NOT_SHIPPED"
"lodash.isboolean","3.0.3","true","false","0","MIT","0","NOT_SHIPPED"
"lodash.isinteger","4.0.4","true","false","0","MIT","0","NOT_SHIPPED"
"lodash.isnumber","3.0.3","true","false","0","MIT","0","NOT_SHIPPED"
"lodash.isplainobject","4.0.6","true","false","0","MIT","0","NOT_SHIPPED"
"lodash.isstring","4.0.1","true","false","0","MIT","0","NOT_SHIPPED"
"lodash.once","4.1.1","true","false","0","MIT","0","NOT_SHIPPED"
"lodash","4.17.21","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"loose-envify","1.4.0","true","false","0","MIT","0","NOT_SHIPPED"
"lru-cache","10.4.3","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"lru-cache","7.18.3","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"luxon","3.5.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"make-dir","3.1.0","true","false","0","MIT","0","NOT_SHIPPED"
