"package","version","in_repository_production_resolution","in_packaged_application","packaged_instance_count","declared_licence","collected_direct_text_count","technical_classification"
"events","3.3.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"expand-template","2.0.3","true","true","1","(MIT OR WTFPL)","1","SHIPPED_LEGAL_SPECIAL_REVIEW"
"express","4.22.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"extract-zip","2.0.1","true","true","1","BSD-2-Clause","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"fast-fifo","1.3.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"fast-safe-stringify","2.1.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"fd-slicer","1.1.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"fflate","0.8.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"file-type","20.4.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"file-uri-to-path","1.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"finalhandler","1.3.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"fluent-ffmpeg","2.1.3","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"for-each","0.3.5","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"foreground-child","3.3.1","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"forwarded","0.2.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"fresh","0.5.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"fs-constants","1.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"fs-extra","11.3.4","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"fs-extra","11.3.5","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"fs-minipass","2.1.0","true","false","0","ISC","0","NOT_SHIPPED"
"fs.realpath","1.0.0","true","false","0","ISC","0","NOT_SHIPPED"
"function-bind","1.1.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"gauge","3.0.2","true","false","0","ISC","0","NOT_SHIPPED"
"get-caller-file","2.0.5","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"get-intrinsic","1.3.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"get-proto","1.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"get-stream","5.2.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"get-uri","6.0.5","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"github-from-package","0.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"glob","10.4.5","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"glob","10.5.0","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"glob","7.2.3","true","false","0","ISC","0","NOT_SHIPPED"
"gopd","1.2.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"graceful-fs","4.2.11","true","true","1","ISC","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"has-flag","4.0.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"has-property-descriptors","1.0.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"has-symbols","1.1.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"has-tostringtag","1.0.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"has-unicode","2.0.1","true","false","0","ISC","0","NOT_SHIPPED"
"hasown","2.0.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"helmet","8.3.0","true","false","0","MIT","0","NOT_SHIPPED"
"http-errors","2.0.1","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"http-proxy-agent","7.0.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"https-proxy-agent","5.0.1","true","false","0","MIT","0","NOT_SHIPPED"
"https-proxy-agent","7.0.6","true","true","2","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"iconv-lite","0.4.24","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
